"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","6179","navigate to form page","chromium","2025-11-26","passed","2025-11-26","","usePageObjects.spec.ts","",""
"","5114","parameterized methods","chromium","2025-11-26","passed","2025-11-26","","usePageObjects.spec.ts","",""
